Part 1:	General data of instance																			
R	K	|V|	O	U	a	b														
1148	70	185	-20	1655	2535	90	1400	-1	5											
1149	16	78	-10	1902	2782	90	1366	-1	5											
1150	57	73	30	50	930	90	-1	1066	2											
1151	92	39	-20	2662	3542	90	1270	-1	4											
1152	5	58	20	623	1503	90	-1	1067	2											
1153	75	61	-10	379	1259	90	1157	-1	2											
1154	186	50	20	1090	1970	90	-1	1026	2											
1155	14	199	30	1027	1907	90	-1	1068	2											
1156	80	139	30	1182	2062	90	-1	1111	2											
1157	110	72	10	29	909	90	-1	1153	2											
1158	40	87	-10	2384	3264	90	1398	-1	5											
1159	155	38	10	82	962	90	-1	1086	2											
1160	155	108	20	55	935	90	-1	1054	2											
1161	152	149	-10	1431	2311	90	1282	-1	4											
1162	55	195	20	704	1584	90	-1	1217	2											
1163	86	100	-30	2709	3589	90	1412	-1	5											
1164	36	107	20	851	1731	90	-1	1365	2											
1165	103	148	-10	586	1466	90	1075	-1	1											
1166	29	88	10	2009	2889	90	-1	1220	2											
1167	32	93	-10	68	948	90	1253	-1	3											
1168	79	132	20	1654	2534	90	-1	1259	2											
1169	25	182	-10	535	1415	90	1359	-1	5											
1170	25	187	-30	828	1708	90	1188	-1	3											
1171	23	102	30	2103	2983	90	-1	1332	2											
1172	128	80	10	1098	1978	90	-1	1212	2											
1173	165	62	-20	1971	2851	90	1402	-1	5											
1174	34	84	-10	2492	3372	90	1133	-1	2											
1175	82	100	10	18	898	90	-1	1132	2											
1176	162	37	40	225	1105	90	-1	1135	2											
1177	138	132	-20	2674	3554	90	1293	-1	4											
1178	65	182	20	994	1874	90	-1	1313	2											
1179	53	168	20	82	962	90	-1	1120	2											
1180	114	55	-10	2258	3138	90	1128	-1	2											
1181	24	164	-20	1925	2805	90	1347	-1	4											
1182	74	5	20	972	1852	90	-1	1233	2											
1183	109	73	-20	28	908	90	1088	-1	1											
1184	102	146	-30	493	1373	90	1305	-1	4											
1185	144	38	30	783	1663	90	-1	1078	2											
1186	93	11	20	1449	2329	90	-1	1301	3											
1187	73	106	10	55	935	90	-1	1100	3											
1188	51	190	30	102	982	90	-1	1170	3											
1189	106	113	-20	2640	3520	90	1223	-1	3											
1190	81	80	10	27	907	90	-1	1203	3											
1191	138	22	30	585	1465	90	-1	1379	3											
1192	69	173	-20	1372	2252	90	1336	-1	4											
1193	75	18	30	597	1477	90	-1	1328	3											
1194	166	55	-30	2250	3130	90	1392	-1	5											
1195	89	68	10	670	1550	90	-1	1287	3											
1196	126	59	20	1419	2299	0	-1	1415	3											
1197	88	137	-10	1373	2253	90	1370	-1	5											
1198	99	152	-10	784	1664	90	1044	-1	1											
1199	178	54	-30	890	1770	90	1073	-1	1											
1200	132	51	20	1295	2175	90	-1	1330	3											
1201	100	147	10	401	1281	90	-1	1388	3											
1202	36	96	10	97	977	90	-1	1258	3											
1203	6	59	-10	715	1595	90	1190	-1	3											
1204	102	62	30	54	934	90	-1	1138	3											
1205	55	188	30	98	978	90	-1	1211	3											
1206	135	54	-10	1201	2081	90	1121	-1	2											
1207	6	66	20	902	1782	90	-1	1294	3											
1208	88	116	-20	2441	3321	90	1094	-1	1											
1209	29	75	20	1315	2195	90	-1	1367	3											
1210	143	140	10	667	1547	90	-1	1024	3											
1211	15	181	-30	726	1606	90	1205	-1	3											
1212	130	42	-10	1486	2366	90	1172	-1	2											
1213	17	99	20	1333	2213	90	-1	1032	3											
1214	182	68	-10	1288	2168	90	1362	-1	5											
1215	27	187	30	920	1800	90	-1	1091	3											
1216	40	34	10	89	969	90	-1	1043	3											
1217	57	183	-20	896	1776	90	1162	-1	2											
1218	64	140	-20	1076	1956	90	1047	-1	1											
1219	2	178	-20	1233	2113	90	1049	-1	1											
1220	34	89	-10	2104	2984	90	1166	-1	2											
1221	149	149	20	1132	2012	90	-1	1083	3											
1222	147	158	-20	2229	3109	90	1264	-1	3											
1223	110	150	20	683	1563	90	-1	1189	3											
1224	83	149	20	51	931	90	-1	1335	3											
1225	42	105	-10	755	1635	90	1226	-1	3											
1226	83	108	10	18	898	90	-1	1225	3											
1227	20	78	-30	1492	2372	90	1229	-1	3											
1228	38	85	-10	2291	3171	90	1242	-1	3											
1229	101	74	30	26	906	90	-1	1227	3											
1230	82	128	-20	1846	2726	90	1042	-1	1											
1231	73	110	20	28	908	90	-1	1101	3											
1232	81	136	20	1560	2440	90	-1	1406	3											
1233	91	14	-20	1858	2738	90	1182	-1	2											
1234	96	62	-20	2423	3303	90	1090	-1	1											
1235	130	47	-20	60	940	90	1249	-1	3											
1236	14	163	30	1618	2498	90	-1	1058	3											
1237	21	56	-30	332	1212	90	1146	-1	2											
1238	88	41	10	60	940	90	-1	1240	3											
1239	20	92	20	1521	2401	90	-1	1093	3											
1240	73	20	-10	504	1384	90	1238	-1	3											
1241	95	18	-20	1762	2642	90	1276	-1	4											
1242	17	87	10	1708	2588	90	-1	1228	3											
1243	123	32	30	1961	2841	90	-1	1257	3											
1244	124	170	-20	1930	2810	90	1081	-1	1											
1245	84	141	30	1277	2157	90	-1	1314	3											
1246	116	44	20	2157	3037	90	-1	1353	3											
1247	133	162	-20	2334	3214	90	1252	-1	3											
1248	74	31	-10	73	953	90	1380	-1	5											
1249	107	23	20	181	1061	90	-1	1235	3											
1250	25	102	20	1135	2015	90	-1	1279	3											
1251	97	71	-20	29	909	90	1337	-1	4											
1252	83	147	20	49	929	90	-1	1247	3											
1253	38	94	10	62	942	90	-1	1167	3											
1254	149	146	-20	1039	1919	90	1284	-1	4											
1255	93	117	-10	2705	3585	90	1023	-1	1											
1256	124	154	-30	2436	3316	90	1033	-1	1											
1257	115	40	-30	2063	2943	90	1243	-1	3											
1258	84	136	-10	1467	2347	90	1202	-1	3											
1259	88	111	-20	2346	3226	90	1168	-1	2											
1260	143	135	10	2629	3509	90	-1	1053	3											
1261	143	30	-10	685	1565	90	1334	-1	4											
1262	148	139	-20	572	1452	90	1082	-1	1											
1263	68	69	30	874	1754	90	-1	1280	3											
1264	97	157	20	1157	2037	90	-1	1222	3											
1265	146	113	20	47	927	90	-1	1271	3											
1266	118	9	10	381	1261	90	-1	1343	3											
1267	125	16	10	481	1361	90	-1	1017	4											
1268	81	92	-10	2578	3458	90	1085	-1	1											
1269	148	57	10	64	944	90	-1	1373	4											
1270	89	27	20	2427	3307	90	-1	1151	4											
1271	165	157	-20	1630	2510	90	1265	-1	3											
1272	70	89	-10	1919	2799	90	1072	-1	1											
1273	25	101	10	1044	1924	90	-1	1105	4											
1274	6	95	-10	1877	2757	90	1035	-1	1											
1275	89	80	20	22	902	90	-1	1375	4											
1276	76	15	20	690	1570	90	-1	1241	4											
1277	3	56	-10	531	1411	90	1014	-1	1											
1278	82	48	-40	2129	3009	90	1395	-1	5											
1279	81	89	-20	2485	3365	90	1250	-1	3											
1280	20	79	-30	1583	2463	90	1263	-1	3											
1281	30	75	10	1204	2084	90	-1	1357	4											
1282	160	137	10	102	982	90	-1	1161	4											
1283	150	130	-10	2440	3320	90	1325	-1	4											
1284	156	137	20	289	1169	90	-1	1254	4											
1285	169	54	10	610	1490	90	-1	1087	4											
1286	13	90	-10	1778	2658	90	1296	-1	4											
1287	49	64	-10	984	1864	90	1195	-1	3											
1288	39	99	20	364	1244	90	-1	1372	4											
1289	91	43	10	57	937	90	-1	1059	4											
1290	60	197	20	2219	3099	90	-1	1084	4											
1291	15	69	-30	1002	1882	90	1385	-1	5											
1292	101	164	10	1446	2326	90	-1	1329	4											
1293	153	161	20	1329	2209	90	-1	1177	4											
1294	11	83	-20	1805	2685	90	1207	-1	3											
1295	127	55	20	2643	3523	90	-1	1327	4											
1296	33	103	10	946	1826	90	-1	1286	4											
1297	43	101	30	661	1541	90	-1	1321	4											
1298	175	70	-10	1476	2356	90	1399	-1	5											
1299	122	144	20	2674	3554	90	-1	1074	4											
1300	68	16	-10	408	1288	90	1303	-1	4											
1301	93	32	-20	2617	3497	90	1186	-1	3											
1302	164	61	-10	2063	2943	90	1110	-1	2											
1303	79	31	10	72	952	90	-1	1300	4											
1304	69	178	-10	1557	2437	90	1097	-1	2											
1305	86	155	30	97	977	90	-1	1184	4											
1306	87	67	30	578	1458	90	-1	1070	4											
1307	99	48	10	2671	3551	90	-1	1112	4											
1308	72	8	20	879	1759	90	-1	1413	4											
1309	108	82	30	19	899	90	-1	1339	4											
1310	69	121	20	877	1757	0	-1	1416	4											
1311	67	13	30	315	1195	90	-1	1027	4											
1312	33	73	-20	1297	2177	90	1039	-1	1											
1313	68	176	-20	1465	2345	90	1178	-1	2											
1314	106	127	-30	2052	2932	90	1245	-1	3											
1315	106	60	-10	424	1304	90	1326	-1	4											
1316	35	90	10	2195	3075	90	-1	1089	4											
1317	84	13	-10	1167	2047	90	1322	-1	4											
1318	133	168	-20	2029	2909	90	1055	-1	1											
1319	21	76	20	1400	2280	90	-1	1377	4											
1320	67	89	-10	1826	2706	90	1028	-1	1											
1321	67	97	-30	1728	2608	90	1297	-1	4											
1322	69	40	10	100	980	90	-1	1317	4											
1323	13	120	-30	1993	2873	90	1383	-1	5											
1324	68	173	30	1281	2161	90	-1	1147	4											
1325	190	122	10	1855	2735	90	-1	1283	4											
1326	104	59	10	332	1212	90	-1	1315	4											
1327	117	53	-20	2352	3232	90	1295	-1	4											
1328	84	25	-30	2332	3212	90	1193	-1	3											
1329	109	169	-10	1546	2426	90	1292	-1	4											
1330	120	50	-20	2446	3326	90	1200	-1	3											
1331	52	79	20	2671	3551	0	-1	1417	4											
1332	69	99	-30	1635	2515	90	1171	-1	2											
1333	91	39	-20	2662	3542	90	1115	-1	2											
1334	108	26	10	87	967	90	-1	1261	4											
1335	116	171	-20	1643	2523	90	1224	-1	3											
1336	65	164	20	72	952	90	-1	1192	4											
1337	106	83	20	18	898	90	-1	1251	4											
1338	55	97	20	45	925	90	-1	1113	4											
1339	39	79	-30	2482	3362	90	1309	-1	4											
1340	13	173	-10	1426	2306	90	1108	-1	2											
1341	95	29	-20	2016	2896	90	1355	-1	5											
1342	160	136	-10	69	949	90	1396	-1	5											
1343	105	55	-10	1805	2685	90	1266	-1	3											
1344	146	62	20	59	939	90	-1	1045	4											
1345	73	196	-20	2322	3202	90	1056	-1	1											
1346	95	150	-20	197	1077	90	1062	-1	1											
1347	26	169	20	2020	2900	90	-1	1181	4											
1348	161	139	20	194	1074	90	-1	1401	4											
1349	77	126	20	1751	2631	90	-1	1079	5											
1350	66	81	-10	84	964	90	1040	-1	1											
1351	132	36	20	1678	2558	90	-1	1405	5											
1352	101	152	-30	876	1756	90	1368	-1	5											
1353	94	75	-20	2526	3406	90	1246	-1	3											
1354	158	122	30	62	942	90	-1	1411	5											
1355	81	20	20	2144	3024	90	-1	1341	5											
1356	180	126	10	1955	2835	90	-1	1065	5											
1357	47	76	-10	2665	3545	90	1281	-1	4											
1358	60	37	30	200	1080	90	-1	1369	5											
1359	35	185	10	244	1124	90	-1	1169	5											
1360	36	177	30	433	1313	90	-1	1063	5											
1361	48	191	10	606	1486	90	-1	1076	5											
1362	169	36	10	322	1202	90	-1	1214	5											
1363	177	45	30	989	1869	90	-1	1393	5											
1364	72	119	-30	783	1663	90	1034	-1	1											
1365	26	107	-20	1231	2111	90	1164	-1	2											
1366	15	57	10	428	1308	90	-1	1149	5											
1367	54	73	-20	2670	3550	90	1209	-1	3											
1368	68	152	30	61	941	90	-1	1352	5											
1369	93	26	-30	2521	3401	90	1358	-1	5											
1370	40	101	10	193	1073	90	-1	1197	5											
1371	111	24	-10	275	1155	90	1050	-1	1											
1372	46	128	-20	484	1364	90	1288	-1	4											
1373	177	55	-10	799	1679	90	1269	-1	4											
1374	132	139	10	2673	3553	0	-1	1414	5											
1375	101	62	-20	145	1025	90	1275	-1	4											
1376	97	116	-20	2540	3420	90	1041	-1	1											
1377	81	83	-20	2201	3081	90	1319	-1	4											
1378	157	59	30	2441	3321	90	-1	1119	5											
1379	91	49	-30	2229	3109	90	1191	-1	3											
1380	81	32	10	70	950	90	-1	1248	5											
1381	47	80	10	2580	3460	90	-1	1409	5											
1382	119	62	10	620	1500	90	-1	1057	5											
1383	43	98	30	378	1258	90	-1	1323	5											
1384	101	55	30	45	925	90	-1	1016	5											
1385	31	63	30	78	958	90	-1	1291	5											
1386	145	144	10	945	1825	90	-1	1129	5											
1387	56	192	-20	797	1677	90	1077	-1	1											
1388	101	158	-10	972	1852	90	1201	-1	3											
1389	30	86	20	2397	3277	90	-1	1051	5											
1390	33	188	30	151	1031	90	-1	1141	5											
1391	156	64	-20	2536	3416	90	1136	-1	2											
1392	154	44	30	77	957	90	-1	1194	5											
1393	171	63	-30	1875	2755	90	1363	-1	5											
1394	139	169	-20	2125	3005	90	1021	-1	1											
1395	121	52	40	1518	2398	90	-1	1278	5											
1396	139	102	10	39	919	90	-1	1342	5											
1397	84	10	-20	1260	2140	90	1096	-1	2											
1398	7	63	10	809	1689	90	-1	1158	5											
1399	184	55	10	1185	2065	90	-1	1298	5											
1400	58	168	20	311	1191	90	-1	1148	5											
1401	156	135	-20	381	1261	90	1348	-1	4											
1402	165	52	20	898	1778	90	-1	1173	5											
1403	128	141	-10	2674	3554	90	1025	-1	1											
1404	79	106	20	21	901	90	-1	1015	5											
1405	102	56	-20	1899	2779	90	1351	-1	5											
1406	87	132	-20	1942	2822	90	1232	-1	3											
1407	23	172	-10	2114	2994	90	1018	-1	1											
1408	64	172	10	1187	2067	90	-1	1103	5											
1409	82	104	-10	2705	3585	90	1381	-1	5											
1410	99	156	30	1065	1945	90	-1	1061	5											
1411	146	142	-30	853	1733	90	1354	-1	5											
1412	14	81	30	1679	2559	90	-1	1163	5											
1413	79	19	-20	2051	2931	90	1308	-1	4											
1414	132	139	-10	2673	3553	90	1374	-1	5											
1415	126	59	-20	1419	2299	90	1196	-1	3											
1416	69	121	-20	877	1757	90	1310	-1	4											
1417	52	79	-20	2671	3551	90	1331	-1	4											
																				
Part 3:	Properties of depots																			
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R											
1418	76	90	0	0	3914	0	-1	1419	1											
1419	76	90	0	0	3914	0	1418	-1	1											
1420	84	63	0	0	3914	0	-1	1421	2											
1421	84	63	0	0	3914	0	1420	-1	2											
1422	125	75	0	0	3914	0	-1	1423	3											
1423	125	75	0	0	3914	0	1422	-1	3											
1424	143	84	0	0	3914	0	-1	1425	4											
1425	143	84	0	0	3914	0	1424	-1	4											
1426	223	130	0	0	3914	0	-1	1427	5											
1427	223	130	0	0	3914	0	1426	-1	5											
1428	116	167	0	0	3914	0	-1	1429	6											
1429	116	167	0	0	3914	0	1428	-1	6											
1430	195	186	0	0	3914	0	-1	1431	7											
1431	195	186	0	0	3914	0	1430	-1	7											
1432	215	118	0	0	3914	0	-1	1433	8											
1433	215	118	0	0	3914	0	1432	-1	8											
1434	200	200	0	0	3914	0	-1	1435	9											
1435	200	200	0	0	3914	0	1434	-1	9											
1436	222	130	0	0	3914	0	-1	1437	10											
1437	222	130	0	0	3914	0	1436	-1	10											
1438	226	156	0	0	3914	0	-1	1439	11											
1439	226	156	0	0	3914	0	1438	-1	11											
1440	215	117	0	0	3914	0	-1	1441	12											
1441	215	117	0	0	3914	0	1440	-1	12											
1442	275	288	0	0	3914	0	-1	1443	13											
1443	275	288	0	0	3914	0	1442	-1	13											
1444	214	256	0	0	3914	0	-1	1445	14											
1445	214	256	0	0	3914	0	1444	-1	14											
1446	170	153	0	0	3914	0	-1	1447	15											
1447	170	153	0	0	3914	0	1446	-1	15											
																				
Part 4:	Properties of vehicles 																			
V	V_R																			
0	1																			
1	2																			
2	3																			
3	4																			
4	5																			
5	6																			
6	7																			
7	8																			
8	9																			
9	10																			
10	11																			
11	12																			
12	13																			
13	14																			
14	15																			
15	1																			
16	2																			
17	3																			
18	4																			
19	5																			
20	6																			
21	7																			
22	8																			
23	9																			
24	10																			
25	11																			
26	12																			
27	13																			
28	14																			
29	15																			
30	1																			
31	2																			
32	3																			
33	4																			
34	5																			
35	6																			
36	7																			
37	8																			
38	9																			
39	10																			
40	11																			
41	12																			
42	13																			
43	14																			
44	15																			
45	1																			
46	2																			
47	3																			
48	4																			
49	5																			
50	6																			
51	7																			
52	8																			
53	9																			
54	10																			
55	11																			
56	12																			
57	13																			
58	14																			
59	15																			
60	1																			
61	2																			
62	3																			
63	4																			
64	5																			
65	6																			
66	7																			
67	8																			
68	9																			
69	10																			
70	11																			
71	12																			
72	13																			
73	14																			
74	15																			
75	1																			
76	2																			
77	3																			
78	4																			
79	5																			
80	6																			
81	7																			
82	8																			
83	9																			
84	10																			
85	11																			
86	12																			
87	13																			
88	14																			
89	15																			
90	1																			
91	2																			
92	3																			
93	4																			
94	5																			
95	6																			
96	7																			
97	8																			
98	9																			
99	10																			
100	11																			
101	12																			
102	13																			
103	14																			
104	15																			
105	1																			
106	2																			
107	3																			
108	4																			
109	5																			
110	6																			
111	7																			
112	8																			
113	9																			
114	10																			
115	11																			
116	12																			
117	13																			
118	14																			
119	15																			
120	1																			
121	2																			
122	3																			
123	4																			
124	5																			
125	6																			
126	7																			
127	8																			
128	9																			
129	10																			
130	11																			
131	12																			
132	13																			
133	14																			
134	15																			
135	1																			
136	2																			
137	3																			
138	4																			
139	5																			
140	6																			
141	7																			
142	8																			
143	9																			
144	10																			
145	11																			
146	12																			
147	13																			
148	14																			
149	15																			
150	1																			
151	2																			
152	3																			
153	4																			
154	5																			
155	6																			
156	7																			
157	8																			
158	9																			
159	10																			
160	11																			
161	12																			
162	13																			
163	14																			
164	15																			
165	1																			
166	2																			
167	3																			
168	4																			
169	5																			
170	6																			
171	7																			
172	8																			
173	9																			
174	10																			
175	11																			
176	12																			
177	13																			
178	14																			
179	15																			
180	1																			
181	2																			
182	3																			
183	4																			
184	5																			
185	6																			
186	7																			
187	8																			
188	9																			
189	10																			
190	11																			
191	12																			
192	13																			
193	14																			
194	15																			
195	1																			
196	2																			
197	3																			
198	4																			
199	5																			
200	6																			
201	7																			
202	8																			
203	9																			
204	10																			
205	11																			
206	12																			
207	13																			
208	14																			
209	15																			
210	1																			
211	2																			
212	3																			
213	4																			
214	5																			
215	6																			
216	7																			
217	8																			
218	9																			
219	10																			
220	11																			
221	12																			
222	13																			
223	14																			
224	15																			
225	1																			
226	2																			
227	3																			
228	4																			
229	5																			
230	6																			
231	7																			
232	8																			
233	9																			
234	10																			
235	11																			
236	12																			
237	13																			
238	14																			
239	15																			
240	1																			
241	2																			
242	3																			
243	4																			
244	5																			
245	6																			
246	7																			
247	8																			
248	9																			
249	10																			
250	11																			
251	12																			
252	13																			
253	14																			
254	15																			
255	1																			
256	2																			
257	3																			
258	4																			
259	5																			
260	6																			
261	7																			
262	8																			
263	9																			
264	10																			
265	11																			
266	12																			
267	13																			
268	14																			
269	15																			
270	1																			
271	2																			
272	3																			
273	4																			
274	5																			
275	6																			
276	7																			
277	8																			
278	9																			
279	10																			
280	11																			
281	12																			
282	13																			
283	14																			
284	15																			
285	1																			
286	2																			
287	3																			
288	4																			
289	5																			
290	6																			
291	7																			
292	8																			
293	9																			
294	10																			
295	11																			
296	12																			
297	13																			
298	14																			
299	15																			
300	1																			
301	2																			
302	3																			
303	4																			
304	5																			
305	6																			
306	7																			
307	8																			
308	9																			
309	10																			
310	11																			
311	12																			
312	13																			
313	14																			
314	15																			
315	1																			
316	2																			
317	3																			
318	4																			
319	5																			
320	6																			
321	7																			
322	8																			
323	9																			
324	10																			
325	11																			
326	12																			
327	13																			
328	14																			
329	15																			
330	1																			
331	2																			
332	3																			
333	4																			
334	5																			
335	6																			
336	7																			
337	8																			
338	9																			
339	10																			
340	11																			
341	12																			
342	13																			
343	14																			
344	15																			
345	1																			
346	2																			
347	3																			
348	4																			
349	5																			
350	6																			
351	7																			
352	8																			
353	9																			
354	10																			
355	11																			
356	12																			
357	13																			
358	14																			
359	15																			
